sample,date,variety,fruit.number,site,mass,tissue,swain.prop,log1.swain,total.fruit,fruit.nh,small,large,seed.number,seed.nh,seed.crush,presence,elevation,day,lat,long,BIO1,BIO12,BIO15
19-43V,6/17/19,palans,20-50,19-43,18.78,seed,8.02280867,2.199755668,NA,NA,NA,NA,50,27,23,1,1193.1,168,37.27205,-113.8913,134,274,31
19-43G,6/17/19,palans,20-10,19-43,19.99,seed,0,0,NA,NA,NA,NA,50,29,21,0,1193.1,168,37.27205,-113.8914,134,274,31
19-43L,6/17/19,palans,<10,19-43,24.15,seed,0,0,NA,NA,NA,NA,50,34,16,0,1193.1,168,37.27205,-113.8915,134,274,31
19-43W,6/17/19,palans,20-50,19-43,31.69,seed,8.06215869,2.204107358,NA,NA,NA,NA,50,39,11,1,1193.1,168,37.27205,-113.8916,134,274,31
19-43R,6/17/19,palans,20-50,19-43,26.99,seed,0,0,NA,NA,NA,NA,50,42,8,0,1193.1,168,37.27205,-113.8918,134,274,31
19-45A,6/17/19,vitreus,20-50,19-45,22.92,seed,4.22199176,1.652878892,30,3,16,11,50,42,8,1,1429.5,168,36.8780167,-112.64795,127,300,28
19-45E,6/17/19,vitreus,100+,19-45,29.67,seed,12.76561267,2.622173647,30,6,18,6,50,44,6,1,1429.5,168,36.8780167,-112.64799,127,300,28
19-45I,6/17/19,vitreus,20-10,19-45,28.87,seed,10.14424012,2.410922783,30,11,8,11,50,39,11,1,1429.5,168,36.8780167,-112.64804,127,300,28
19-45J,6/17/19,vitreus,20-50,19-45,28.16,seed,16.94500373,2.887311732,30,16,13,1,50,16,34,1,1429.5,168,36.8780167,-112.64806,127,300,28
19-46B,6/17/19,vitreus,100+,19-46,21.13,seed,13.32330056,2.661887621,30,15,13,2,50,42,8,1,1733.2,168,36.8700333,-112.324217,105,318,29
19-46C,6/17/19,vitreus,~50,19-46,28.79,seed,0,0,30,9,14,7,50,50,0,0,1733.2,168,36.8700333,-112.324218,105,318,29
19-46D,6/17/19,vitreus,31,19-46,22.43,seed,21.13561877,3.09718802,30,11,17,2,5,2,3,1,1733.2,168,36.8700333,-112.324219,105,318,29
19-46F,6/17/19,vitreus,100+,19-46,21.98,seed,15.37986503,2.796052838,30,14,16,0,50,46,4,1,1733.2,168,36.8700333,-112.324221,105,318,29
19-46H,6/17/19,vitreus,~50,19-46,26.28,seed,10.04557369,2.402029777,30,7,23,0,50,38,12,1,1733.2,168,36.8700333,-112.324223,105,318,29
19-46L,6/17/19,vitreus,~90,19-46,29.96,seed,12.17528976,2.578343087,30,14,16,0,50,32,18,1,1733.2,168,36.8700333,-112.324227,105,318,29
19-47M,6/18/19,wilsonii,13,19-47,27.65,seed,14.92251827,2.767734351,12,12,0,0,50,50,0,1,1175.5,169,34.6783833,-111.739483,158,434,38
19-47N,6/18/19,wilsonii,11,19-47,32.01,seed,0,0,11,10,1,0,50,50,0,0,1175.5,169,34.6783833,-111.739484,158,434,38
19-47A,6/18/19,wilsonii,50-100,19-47,31.25,seed,0,0,30,29,1,0,50,45,5,0,1175.5,169,34.6783833,-111.739485,158,434,38
19-47B,6/18/19,wilsonii,20-30,19-47,31.8,seed,5.61119799,1.888764876,30,30,0,0,50,50,0,1,1175.5,169,34.6783833,-111.739486,158,434,38
19-47C,6/18/19,wilsonii,20-50,19-47,27.5,seed,6.24662699,1.980536118,30,30,0,0,50,50,0,1,1175.5,169,34.6783833,-111.739487,158,434,38
19-47D,6/18/19,wilsonii,20-50,19-47,33.97,seed,7.9093105,2.187096854,30,30,0,0,50,50,0,1,1175.5,169,34.6783833,-111.739488,158,434,38
19-47E,6/18/19,wilsonii,50-100,19-47,40.71,seed,10.48872516,2.441366134,30,29,1,0,50,50,0,1,1175.5,169,34.6783833,-111.739489,158,434,38
19-47F,6/18/19,wilsonii,10,19-47,28.21,seed,0,0,11,11,0,0,50,50,0,0,1175.5,169,34.6783833,-111.73949,158,434,38
19-47G,6/18/19,wilsonii,20-30,19-47,28.58,seed,7.64580422,2.157074142,30,28,2,0,50,50,0,1,1175.5,169,34.6783833,-111.739491,158,434,38
19-47H,6/18/19,wilsonii,20-10,19-47,40.6,seed,7.59166969,2.150793093,24,12,2,8,50,48,2,1,1175.5,169,34.6783833,-111.739492,158,434,38
19-47I,6/18/19,wilsonii,25,19-47,39.66,seed,7.50445093,2.140589665,27,25,2,0,50,50,0,1,1175.5,169,34.6783833,-111.739493,158,434,38
19-47J,6/18/19,wilsonii,20-50,19-47,36.77,seed,9.01411821,2.303995918,30,26,4,0,50,50,0,1,1175.5,169,34.6783833,-111.739494,158,434,38
19-47K,6/18/19,wilsonii,20-10,19-47,34.31,seed,8.97712631,2.300295104,16,14,2,0,50,50,0,1,1175.5,169,34.6783833,-111.739495,158,434,38
19-47L,6/18/19,wilsonii,25,19-47,32.96,seed,0.71410308,0.538889958,26,25,0,1,50,50,0,1,1175.5,169,34.6783833,-111.739496,158,434,38
19-47P,6/18/19,wilsonii,25,19-47,34.03,seed,2.34778535,1.208299038,30,30,0,0,50,50,0,1,1175.5,169,34.6783833,-111.739498,158,434,38
19-48D,6/18/19,wilsonii,31,19-48,22.21,seed,9.5137514,2.352684057,30,26,2,2,50,50,0,1,1125.1,169,34.7148667,-111.77862,157,437,38
19-48E,6/18/19,wilsonii,20,19-48,32.68,seed,5.59738405,1.886673214,20,18,1,1,50,25,25,1,1125.1,169,34.7148667,-111.778621,157,437,38
19-48F,6/18/19,wilsonii,45,19-48,36.69,seed,9.71904804,2.372022349,30,27,1,2,50,44,6,1,1125.1,169,34.7148667,-111.778622,157,437,38
19-48G,6/18/19,wilsonii,15,19-48,31.19,seed,7.00935177,2.08060983,15,14,1,0,50,13,37,1,1125.1,169,34.7148667,-111.778623,157,437,38
19-48H,6/18/19,wilsonii,35,19-48,20.8,seed,9.14740325,2.317217835,30,26,1,3,50,27,23,1,1125.1,169,34.7148667,-111.778624,157,437,38
19-49A,6/18/19,wilsonii,28,19-49,30.83,seed,9.642774,2.364881164,24,22,2,0,50,45,5,1,1072.7,169,34.7404667,-111.921683,163,370,41
19-49B,6/18/19,wilsonii,23,19-49,26.95,seed,0.08121836,0.078088516,25,24,1,0,50,46,4,1,1072.7,169,34.7404667,-111.921684,163,370,41
19-49D,6/18/19,wilsonii,22,19-49,39.65,seed,10.35215407,2.429407512,22,18,2,2,50,44,6,1,1072.7,169,34.7404667,-111.921686,163,370,41
19-49F,6/18/19,wilsonii,~80,19-49,38,seed,0,0,30,30,0,0,50,24,26,0,1072.7,169,34.7404667,-111.921688,163,370,41
19-49G,6/18/19,wilsonii,62,19-49,31.29,seed,2.42847961,1.232116901,30,27,3,0,50,21,29,1,1072.7,169,34.7404667,-111.921689,163,370,41
19-49H,6/18/19,wilsonii,~60,19-49,33.46,seed,7.54512591,2.145361051,30,30,0,0,50,46,4,1,1072.7,169,34.7404667,-111.92169,163,370,41
19-49I,6/18/19,wilsonii,100+,19-49,29.16,seed,8.16590044,2.215490124,30,30,0,0,50,44,6,1,1072.7,169,34.7404667,-111.921691,163,370,41
19-49J,6/18/19,wilsonii,~70,19-49,33.1,seed,7.06251019,2.087224946,30,27,2,1,50,47,3,1,1072.7,169,34.7404667,-111.921692,163,370,41
19-49K,6/18/19,wilsonii,43,19-49,37.51,seed,0,0,30,30,0,0,50,50,0,0,1072.7,169,34.7404667,-111.921693,163,370,41
19-49L,6/18/19,wilsonii,16,19-49,30.14,seed,6.99241318,2.078492739,17,17,0,0,50,50,0,1,1072.7,169,34.7404667,-111.921694,163,370,41
19-49M,6/18/19,wilsonii,21,19-49,29.4,seed,0,0,19,15,4,0,50,43,7,0,1072.7,169,34.7404667,-111.921695,163,370,41
19-49N,6/18/19,wilsonii,~50,19-49,28.74,seed,13.74569317,2.690951052,30,28,1,1,50,44,6,1,1072.7,169,34.7404667,-111.921696,163,370,41
19-49O,6/18/19,wilsonii,15,19-49,36.89,seed,7.72453713,2.166139416,15,14,0,1,50,49,1,1,1072.7,169,34.7404667,-111.921697,163,370,41
19-51I,6/18/19,palans,20-10,19-51,29.37,seed,24.47388058,3.237653636,26,18,4,4,NA,NA,NA,1,1794.3,169,35.2937667,-111.341727,110,359,40
19-51L,6/18/19,palans,20-10,19-51,31.06,seed,16.89298004,2.884408459,24,19,3,2,NA,NA,NA,1,1794.3,169,35.2937667,-111.34173,110,359,40
19-51O,6/18/19,palans,20-50,19-51,29.72,seed,15.76960625,2.819568096,30,21,7,2,NA,NA,NA,1,1794.3,169,35.2937667,-111.341733,110,359,40
19-51P,6/18/19,palans,20-10,19-51,23.33,seed,22.26465345,3.146935189,30,28,0,2,NA,NA,NA,1,1794.3,169,35.2937667,-111.341734,110,359,40
19-51Q,6/18/19,palans,20-10,19-51,19.09,seed,0,0,21,13,3,5,NA,NA,NA,0,1794.3,169,35.2937667,-111.341735,110,359,40
19-51R,6/18/19,palans,20-50,19-51,15.78,seed,15.43224146,2.799245348,30,25,4,1,NA,NA,NA,1,1794.3,169,35.2937667,-111.341736,110,359,40
19-58F,6/24/19,araneosus,25-50,19-58,34.89,seed,8.13502318,2.212115727,30,27,2,1,50,43,7,1,1391.5,175,39.7915,-113.54675,97,196,25
19-58G,6/24/19,araneosus,25-50,19-58,36.01,seed,6.88640325,2.065140169,30,24,6,0,50,50,0,1,1391.5,175,39.7915,-113.54676,97,196,25
19-61D,6/24/19,araneosus,20-10,19-61,29.66,seed,4.93145371,1.780269328,30,19,9,2,50,50,0,1,1326.1,175,39.8398,-113.570867,104,175,30
19-61F,6/24/19,araneosus,20-50,19-61,31.2,seed,0,0,30,30,0,0,50,47,3,0,1326.1,175,39.8398,-113.570868,104,175,30
19-65A,6/26/19,fremontii,20-30,19-65,21.24,seed,7.63512188,2.155837826,30,0,4,26,50,29,21,1,809.5,177,36.52385,-114.941467,172,140,34
19-65B,6/26/19,fremontii,13,19-65,37.12,seed,0,0,13,3,0,10,50,49,1,0,809.5,177,36.52385,-114.941468,172,140,34
19-65D,6/26/19,fremontii,20-30,19-65,33.75,seed,0,0,30,14,6,10,50,50,0,0,809.5,177,36.52385,-114.94147,172,140,34
19-65E,6/26/19,fremontii,20-50,19-65,28.24,seed,0,0,30,13,5,12,50,42,8,0,809.5,177,36.52385,-114.941471,172,140,34
19-66B,7/16/19,fremontii,26,19-66,24.95,seed,3.52407764,1.50941372,27,19,4,4,50,44,6,1,2105,197,37.4252833,-117.608218,73,214,24
19-66C,7/16/19,fremontii,22,19-66,27.38,seed,6.65049301,2.034770092,23,11,8,4,15,11,4,1,2105,197,37.4252833,-117.608219,73,214,24
19-68A,7/17/19,floribundus,6,19-68,33.11,seed,4.04456872,1.618312164,6,5,1,0,16,16,0,1,1202.2,198,39.94715,-118.471933,108,133,25
19-68E,7/17/19,floribundus,14,19-68,32.1,seed,0,0,15,12,0,3,37,37,0,0,1202.2,198,39.94715,-118.471937,108,133,25
19-68F,7/17/19,floribundus,20-30,19-68,29.86,seed,4.99155774,1.790351435,30,27,2,1,50,50,0,1,1202.2,198,39.94715,-118.471938,108,133,25
19-69A,7/17/19,kennedyi,19,19-69,25.72,seed,1.1513135,0.766078586,20,17,0,3,50,35,15,1,1206.4,198,39.3859333,-118.858117,114,124,22
19-69G,7/17/19,kennedyi,23,19-69,26.77,seed,0,0,23,18,0,5,50,50,0,0,1206.4,198,39.3859333,-118.858123,114,124,22
19-69I,7/17/19,kennedyi,20,19-69,15.97,seed,0.79829236,0.586837526,23,17,3,3,37,37,0,1,1206.4,198,39.3859333,-118.858125,114,124,22
19-69J,7/17/19,kennedyi,14,19-69,22.38,seed,0.21366413,0.19364399,15,15,0,0,50,48,2,1,1206.4,198,39.3859333,-118.858126,114,124,22
19-70A,7/17/19,kennedyi,9,19-70,31.82,seed,0.47308484,0.387358733,9,7,0,2,50,50,0,1,1200.1,198,39.28985,-118.415383,112,124,24
19-70B,7/17/19,kennedyi,4,19-70,29.98,seed,1.0882694,0.736335685,4,2,1,1,27,27,0,1,1200.1,198,39.28985,-118.415384,112,124,24
19-70C,7/17/19,kennedyi,15,19-70,20.95,seed,0.76270506,0.566849595,15,10,1,4,30,30,0,1,1200.1,198,39.28985,-118.415385,112,124,24
19-70G,7/17/19,kennedyi,15,19-70,28.71,seed,0,0,15,12,1,2,50,50,0,0,1200.1,198,39.28985,-118.415389,112,124,24
19-70I,7/17/19,kennedyi,7,19-70,26.7,seed,0,0,7,3,0,4,30,30,0,0,1200.1,198,39.28985,-118.415391,112,124,24
19-71D,7/18/19,kennedyi,20-10,19-71,28.53,seed,1.04871242,0.717211508,26,22,3,1,50,50,0,1,1209.2,199,39.2858,-118.4098,112,124,24
19-71E,7/18/19,kennedyi,13,19-71,27.06,seed,0,0,14,9,2,3,24,24,0,0,1209.2,199,39.2858,-118.4099,112,124,24
19-71F,7/18/19,kennedyi,9,19-71,21.03,seed,2.90459501,1.362154067,8,5,0,3,50,50,0,1,1209.2,199,39.2858,-118.41,112,124,24
19-71G,7/18/19,kennedyi,20-50,19-71,23.04,seed,2.64066788,1.292167148,30,26,2,2,50,50,0,1,1209.2,199,39.2858,-118.4101,112,124,24
19-71H,7/18/19,kennedyi,11,19-71,30.16,seed,0,0,12,7,0,5,27,26,1,0,1209.2,199,39.2858,-118.4102,112,124,24
19-71I,7/18/19,kennedyi,25,19-71,26.69,seed,0,0,29,26,2,1,47,47,0,0,1209.2,199,39.2858,-118.4103,112,124,24
19-71J,7/18/19,kennedyi,15,19-71,26.01,seed,1.17300938,0.776113018,16,12,0,4,50,46,4,1,1209.2,199,39.2858,-118.4104,112,124,24
19-71K,7/18/19,kennedyi,15,19-71,23.68,seed,0,0,17,8,3,6,19,19,0,0,1209.2,199,39.2858,-118.4105,112,124,24
19-71L,7/18/19,kennedyi,10,19-71,26.95,seed,0.29923902,0.261778724,10,7,2,1,34,33,1,1,1209.2,199,39.2858,-118.4106,112,124,24
19-71M,7/18/19,kennedyi,15,19-71,22.03,seed,1.69558649,0.991615802,17,14,3,0,50,50,0,1,1209.2,199,39.2858,-118.4107,112,124,24
19-71N,7/18/19,kennedyi,20,19-71,32.35,seed,0.86994564,0.625909361,20,19,1,0,50,50,0,1,1209.2,199,39.2858,-118.4108,112,124,24
19-71O,7/18/19,kennedyi,17,19-71,29.96,seed,0.45085566,0.372153493,18,15,0,3,50,44,6,1,1209.2,199,39.2858,-118.4109,112,124,24
19-71P,7/18/19,kennedyi,10,19-71,23.27,seed,1.88249444,1.058656044,12,9,0,3,29,0,1,1,1209.2,199,39.2858,-118.411,112,124,24
19-71Q,7/18/19,kennedyi,19,19-71,28.71,seed,0.54776522,0.436812097,20,14,2,4,50,44,6,1,1209.2,199,39.2858,-118.4111,112,124,24
19-71R,7/18/19,kennedyi,9,19-71,29.59,seed,1.52941728,0.927988952,9,4,1,4,50,50,0,1,1209.2,199,39.2858,-118.4112,112,124,24
19-71S,7/18/19,kennedyi,17,19-71,30.82,seed,1.20424939,0.790387038,18,13,0,5,50,50,0,1,1209.2,199,39.2858,-118.4113,112,124,24
19-71T,7/18/19,kennedyi,17,19-71,23.68,seed,1.24474099,0.808590143,17,11,1,5,50,50,0,1,1209.2,199,39.2858,-118.4114,112,124,24
19-72A,7/18/19,fremontii,30-40,19-72,23.16,seed,4.85858737,1.767908511,30,16,3,1,50,49,1,1,1433.3,199,38.9020333,-118.012383,109,134,20
19-72B,7/18/19,fremontii,20-10,19-72,24.37,seed,1.35076023,0.854738778,25,25,0,0,36,34,2,1,1433.3,199,38.9020333,-118.012384,109,134,20
19-72C,7/18/19,fremontii,10,19-72,25.34,seed,1.45424383,0.897818702,10,10,0,0,50,50,0,1,1433.3,199,38.9020333,-118.012385,109,134,20
19-72D,7/18/19,fremontii,20-30,19-72,29.48,seed,1.91067516,1.068385068,30,19,6,5,50,48,2,1,1433.3,199,38.9020333,-118.012386,109,134,20
19-72E,7/18/19,fremontii,11,19-72,34.36,seed,0,0,11,8,3,0,50,50,0,0,1433.3,199,38.9020333,-118.012387,109,134,20
19-72F,7/18/19,fremontii,8,19-72,24.07,seed,0,0,9,7,0,2,50,50,0,0,1433.3,199,38.9020333,-118.012388,109,134,20
19-72G,7/18/19,fremontii,20-30,19-72,20.02,seed,2.01567629,1.103824113,30,27,0,3,50,50,0,1,1433.3,199,38.9020333,-118.012389,109,134,20
19-72H,7/18/19,fremontii,20-30,19-72,24.48,seed,3.48442047,1.500609272,30,27,2,1,50,28,22,1,1433.3,199,38.9020333,-118.01239,109,134,20
19-72I,7/18/19,fremontii,20-30,19-72,21.19,seed,5.48704966,1.86980783,30,27,0,3,50,47,3,1,1433.3,199,38.9020333,-118.012391,109,134,20
19-72J,7/18/19,fremontii,20-30,19-72,21.19,seed,3.75745361,1.559712569,29,23,5,1,50,50,0,1,1433.3,199,38.9020333,-118.012392,109,134,20
19-72L,7/18/19,fremontii,30-50,19-72,21.54,seed,7.61740676,2.1537842,30,24,4,2,50,44,6,1,1433.3,199,38.9020333,-118.012394,109,134,20
19-72M,7/18/19,fremontii,20-10,19-72,26.32,seed,2.69237651,1.306270291,16,12,1,3,50,43,7,1,1433.3,199,38.9020333,-118.012395,109,134,20
19-72N,7/18/19,fremontii,20-10,19-72,23.74,seed,1.64432587,0.972416163,24,21,1,2,50,50,0,1,1433.3,199,38.9020333,-118.012396,109,134,20
19-72O,7/18/19,fremontii,20-30,19-72,20.68,seed,3.812457,1.571207765,28,26,0,2,50,50,0,1,1433.3,199,38.9020333,-118.012397,109,134,20
19-72P,7/18/19,fremontii,20-30,19-72,26.26,seed,0,0,30,23,1,6,50,50,0,0,1433.3,199,38.9020333,-118.012398,109,134,20
19-72Q,7/18/19,fremontii,20-30,19-72,26.15,seed,3.92412231,1.594146048,30,26,2,2,50,48,2,1,1433.3,199,38.9020333,-118.012399,109,134,20
19-72R,7/18/19,fremontii,20-50,19-72,19.82,seed,6.18509636,1.972008931,30,30,0,0,50,50,0,1,1433.3,199,38.9020333,-118.0124,109,134,20
19-72S,7/18/19,fremontii,20-50,19-72,35.48,seed,0,0,30,27,0,3,50,50,0,0,1433.3,199,38.9020333,-118.012401,109,134,20
19-72T,7/18/19,fremontii,30-40,19-72,18.46,seed,5.21212396,1.82650286,30,26,1,3,50,50,0,1,1433.3,199,38.9020333,-118.012402,109,134,20
19-73D,7/19/19,salinus,8,19-73,21.98,seed,5.44464587,1.863249688,8,5,2,1,50,50,0,1,1572.1,200,41.12605,-117.757536,77,267,29
19-73F,7/19/19,salinus,20-50,19-73,22.61,seed,5.77113268,1.912668382,30,26,2,2,50,39,11,1,1572.1,200,41.12605,-117.757533,77,267,29
19-74A,7/19/19,salinus,20-10,19-74,22.17,seed,4.46677214,1.69868834,21,14,4,3,50,23,27,1,1439.6,200,41.023936,-117.738648,93,218,30
19-74C,7/19/19,salinus,20-10,19-74,16.44,seed,0,0,25,25,0,0,50,50,0,0,1439.6,200,41.023936,-117.73865,93,218,30
19-74D,7/19/19,salinus,20-10,19-74,28.09,seed,0,0,30,30,0,0,50,50,0,0,1439.6,200,41.023936,-117.738651,93,218,30
19-74E,7/19/19,salinus,20-10,19-74,15.91,seed,0,0,30,29,0,1,50,42,8,0,1439.6,200,41.023936,-117.738652,93,218,30
19-74F,7/19/19,salinus,20-50,19-74,23.32,seed,0,0,30,23,5,2,50,45,5,0,1439.6,200,41.023936,-117.738653,93,218,30
19-74J,7/19/19,salinus,20-10,19-74,22.93,seed,10.06683372,2.403952682,26,18,3,5,50,29,21,1,1439.6,200,41.023936,-117.738657,93,218,30
19-74K,7/19/19,salinus,20-10,19-74,21.78,seed,0,0,30,19,5,6,50,46,4,0,1439.6,200,41.023936,-117.738658,93,218,30
19-75A,7/20/19,floribundus,20-10,19-75,19.83,seed,2.99271372,1.38447113,30,23,3,4,50,28,22,1,1202.6,201,40.7175667,-119.33365,90,226,29
19-75B,7/20/19,floribundus,20-10,19-75,17.82,seed,4.8527856,1.766917719,26,15,6,5,50,43,7,1,1202.6,201,40.7175667,-119.33366,90,226,29
19-75C,7/20/19,floribundus,20-50,19-75,24.73,seed,4.89310935,1.773783762,30,20,5,5,50,48,2,1,1202.6,201,40.7175667,-119.33367,90,226,29
19-75E,7/20/19,floribundus,20-50,19-75,22.38,seed,0,0,30,19,9,2,50,40,10,0,1202.6,201,40.7175667,-119.33369,90,226,29
19-75F,7/20/19,floribundus,20-50,19-75,21.22,seed,7.23877171,2.108851268,30,19,10,1,50,42,8,1,1202.6,201,40.7175667,-119.3337,90,226,29
19-75G,7/20/19,floribundus,20-50,19-75,23.91,seed,2.60930759,1.283515951,30,18,10,2,50,31,19,1,1202.6,201,40.7175667,-119.33371,90,226,29
19-75I,7/20/19,floribundus,20-10,19-75,22.89,seed,3.74244306,1.556552416,30,22,6,2,21,18,3,1,1202.6,201,40.7175667,-119.33373,90,226,29
19-75J,7/20/19,floribundus,20-10,19-75,22.03,seed,2.72610919,1.315364577,26,14,6,6,48,37,11,1,1202.6,201,40.7175667,-119.33374,90,226,29
19-75M,7/20/19,floribundus,20-50,19-75,19.36,seed,3.21340029,1.438269992,30,15,13,2,50,47,3,1,1202.6,201,40.7175667,-119.33377,90,226,29
19-75N,7/20/19,floribundus,20-50,19-75,22.83,seed,2.58433664,1.276573419,30,14,11,5,48,42,6,1,1202.6,201,40.7175667,-119.33378,90,226,29
19-75P,7/20/19,floribundus,20-50,19-75,19.56,seed,3.99048637,1.607533374,30,14,8,8,48,37,11,1,1202.6,201,40.7175667,-119.3338,90,226,29
19-75Q,7/20/19,floribundus,20-50,19-75,24.08,seed,7.29913869,2.116151737,30,20,5,5,50,33,17,1,1202.6,201,40.7175667,-119.33381,90,226,29
19-75R,7/20/19,floribundus,20-10,19-75,27.97,seed,0,0,NA,NA,NA,NA,NA,NA,NA,0,1202.6,201,40.7175667,-119.33382,90,226,29
19-75S,7/20/19,floribundus,20-10,19-75,20.15,seed,3.0800334,1.406105175,30,20,5,5,50,23,27,1,1202.6,201,40.7175667,-119.33383,90,226,29
19-76A,7/20/19,salinus,20-10,19-76,19.22,seed,7.62929804,2.155163162,14,6,3,5,50,46,4,1,1249.6,201,40.7607333,-119.488133,100,219,31
19-76B,7/20/19,salinus,20-10,19-76,24.6,seed,15.01565083,2.773566421,20,11,5,4,50,41,9,1,1249.6,201,40.7607333,-119.488134,100,219,31
19-76C,7/20/19,salinus,20-10,19-76,25.78,seed,6.79581729,2.053587345,18,14,2,2,50,33,17,1,1249.6,201,40.7607333,-119.488135,100,219,31
19-76D,7/20/19,salinus,20-50,19-76,24.99,seed,6.72675954,2.044689569,29,19,7,3,50,18,32,1,1249.6,201,40.7607333,-119.488136,100,219,31
19-76E,7/20/19,salinus,20-50,19-76,31.01,seed,14.30996958,2.728504223,30,24,6,0,50,15,35,1,1249.6,201,40.7607333,-119.488137,100,219,31
19-76F,7/20/19,salinus,20-10,19-76,24.85,seed,15.84933912,2.824311435,30,25,2,3,50,46,4,1,1249.6,201,40.7607333,-119.488138,100,219,31
19-76G,7/20/19,salinus,20-50,19-76,26.02,seed,12.52843279,2.604793603,30,20,7,3,50,21,29,1,1249.6,201,40.7607333,-119.488139,100,219,31
19-76H,7/20/19,salinus,20-50,19-76,20.68,seed,19.84763483,3.037240504,30,27,2,1,50,44,6,1,1249.6,201,40.7607333,-119.48814,100,219,31
19-76I,7/20/19,salinus,20-50,19-76,28.51,seed,4.12957493,1.635022796,30,21,7,2,50,48,2,1,1249.6,201,40.7607333,-119.488141,100,219,31
19-76J,7/20/19,salinus,20-50,19-76,15.53,seed,0,0,30,25,4,1,50,40,10,0,1249.6,201,40.7607333,-119.488142,100,219,31
19-76K,7/20/19,salinus,20-50,19-76,28.45,seed,11.84701427,2.553111432,30,23,3,4,50,34,16,1,1249.6,201,40.7607333,-119.488143,100,219,31
19-76L,7/20/19,salinus,20-50,19-76,25.02,seed,0,0,30,19,8,3,50,43,7,0,1249.6,201,40.7607333,-119.488144,100,219,31
19-76M,7/20/19,salinus,20-50,19-76,18.17,seed,7.05762298,2.086618597,30,28,0,2,50,50,0,1,1249.6,201,40.7607333,-119.488145,100,219,31
19-76O,7/20/19,salinus,20-50,19-76,26.01,seed,8.55394751,2.256954421,30,21,7,2,50,23,27,1,1249.6,201,40.7607333,-119.488147,100,219,31
19-76P,7/20/19,salinus,50-100,19-76,21.91,seed,8.12837052,2.211387203,30,12,15,3,50,24,26,1,1249.6,201,40.7607333,-119.488148,100,219,31
19-76Q,7/20/19,salinus,20-50,19-76,30.05,seed,6.65910259,2.035894822,30,19,6,5,50,27,23,1,1249.6,201,40.7607333,-119.488149,100,219,31
19-76R,7/20/19,salinus,20-50,19-76,26.69,seed,14.52104669,2.742196954,30,20,6,4,50,38,12,1,1249.6,201,40.7607333,-119.48815,100,219,31
19-76S,7/20/19,salinus,50-100,19-76,47.35,seed,8.77334739,2.279659027,30,27,2,1,50,45,5,1,1249.6,201,40.7607333,-119.488151,100,219,31
19-76T,7/20/19,salinus,20-50,19-76,35.22,seed,26.1533216,3.301499381,30,20,8,2,50,42,8,1,1249.6,201,40.7607333,-119.488152,100,219,31
19-77A,7/20/19,salinus,20-10,19-77,33.43,seed,10.21467905,2.41722355,14,4,7,3,44,40,4,1,1195.2,201,40.6107667,-119.709617,107,230,37
19-77C,7/20/19,salinus,20-10,19-77,30.92,seed,3.90993452,1.591260606,30,19,6,5,50,46,4,1,1195.2,201,40.6107667,-119.709619,107,230,37
19-77D,7/20/19,salinus,20-10,19-77,24.34,seed,7.91009606,2.187185023,14,11,0,3,50,10,40,1,1195.2,201,40.6107667,-119.70962,107,230,37
19-77E,7/20/19,salinus,20-10,19-77,30.43,seed,17.92795053,2.940639694,15,10,2,3,11,7,4,1,1195.2,201,40.6107667,-119.709621,107,230,37
19-77G,7/20/19,salinus,20-50,19-77,32.07,seed,20.10761938,3.049634083,30,19,7,4,50,36,14,1,1195.2,201,40.6107667,-119.709623,107,230,37
19-77H,7/20/19,salinus,50-100,19-77,26.35,seed,12.32568252,2.58969319,30,12,13,5,50,11,39,1,1195.2,201,40.6107667,-119.709624,107,230,37
19-77I,7/20/19,salinus,20-50,19-77,28.85,seed,8.11607208,2.210039018,30,15,12,3,50,28,22,1,1195.2,201,40.6107667,-119.709625,107,230,37
19-77J,7/20/19,salinus,20-50,19-77,29.22,seed,12.1528523,2.57663864,30,2,26,2,50,20,30,1,1195.2,201,40.6107667,-119.709626,107,230,37
19-78A,7/21/19,floribundus,20-10,19-78,15.49,seed,0,0,23,12,4,7,20,20,0,0,1976,202,38.0806167,-119.044883,69,324,50
19-78B,7/21/19,floribundus,20-50,19-78,16.78,seed,10.61258761,2.452089649,30,22,5,3,15,15,0,1,1976,202,38.0806167,-119.044884,69,324,50
19-78C,7/21/19,floribundus,20-50,19-78,25.06,seed,0,0,30,25,2,3,50,50,0,0,1976,202,38.0806167,-119.044885,69,324,50
19-78D,7/21/19,floribundus,20-10,19-78,22.26,seed,7.13665698,2.096379405,30,24,1,5,16,16,0,1,1976,202,38.0806167,-119.044886,69,324,50
19-78I,7/21/19,floribundus,20-10,19-78,20.76,seed,3.70622951,1.548887059,21,11,2,8,10,8,2,1,1976,202,38.0806167,-119.044891,69,324,50
19-78J,7/21/19,floribundus,20-10,19-78,21.24,seed,2.19959542,1.163024371,26,19,1,6,48,46,2,1,1976,202,38.0806167,-119.044892,69,324,50
19-79B,7/21/19,floribundus,20-10,19-79,20.68,seed,8.23930391,2.223466548,30,21,5,4,0,0,0,1,2068.1,202,38.1112333,-118.834034,67,263,42
19-79D,7/21/19,floribundus,20-50,19-79,26.79,seed,0,0,30,18,12,0,50,50,0,0,2068.1,202,38.1112333,-118.834036,67,263,42
